09/07/2026,Nama Barang,Satuan,Promo
1,Gula KBA,kg,15775
2,Tepung payung,ZAK,182000
3,Tepung LM,ZAK,184250
4,Tepung SGTG,ZAK,219500
5,Tepung Cakra,ZAK,226250
6,Tepung beras Rose brand,DOS,156000
7,Bango sc,DOS,111000
8,KARA TCA,DOS,152000
9,Bango rv sc,Dos,111000
10,Nutrijell K rasa2,Dos,148000
11,Kecap sedap 60ml 5+1,Dos,62500
12,Soklin 5000an,Dos,100000
13,Beras melon 5kg,Dos,76000
14,Sedap Gr,Dos,110500
15,Sedap Soto,Dos,106000
16,Indomie Gr,Dos,113500
17,Giv,Dos,185000
18,Harmony,Dos,158000
19,Pepsodent 75gr,Dos,595000
20,Ya Sp 120Gr+Gelas,Dos,205000
21,Rinso PK dus,Dos,94000
22,Bango 700gr,Dos,252500
23,Mama Lemon 740ml,Dos,97500
24,Daia 5000an,Dos,99000
25,Top Capu,Dos,215000
26,Top Wht,Dos,132000
27,Top 7gr,Dos,139000
